time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1641169290,a4d86a,30.873164807335804,-91.74699096679689,272.8867216051383,62.61373334921617,-0.32512,LXJ411  ,False,False,False,2503.0,13716.0,14043.66,1641169289.894,1641169289.894
1641170350,a0232a,34.29587154065148,-82.63738632202148,263.4937773981356,57.92347140690139,4.8768,RPA4643 ,False,False,False,2511.0,8801.1,9044.94,1641170349.677,1641170349.795
1641171090,a17142,31.72265004303496,-99.0176330566406,176.1367908845189,316.6568539475225,-0.32512,WSN90   ,False,False,False,5732.0,9144.0,9364.98,1641171086.766,1641171089.993
1641170510,ab5ade,32.67539978027344,-96.5972900390625,82.31747029882627,270.7161599454704,-0.32512,SWA1250 ,False,False,False,7255.0,769.62,861.06,1641170507.545,1641170509.615
1641169130,00fee4,,,,,,DUB14N  ,True,True,False,1013.0,13243.56,,,1641169129.047
1641168670,a7cb0b,37.78975664559057,-111.83066990064538,246.194646032856,106.01117747880846,0.0,AAL2448 ,False,False,False,,10668.0,10805.16,1641168644.157,1641168645.027
1641170250,ada52c,31.992653022378175,-106.9705698441486,260.0589473803182,110.98054890009108,0.0,N979AZ  ,False,False,False,,12496.8,12793.98,1641169301.653,1641170249.809
1641168720,780578,37.788116455078125,121.04648671251664,227.7918298173792,27.433102626823533,0.0,CDG4631 ,False,False,False,7013.0,7498.08,7368.54,1641168522.295,1641168543.433
1641169490,a92123,38.23917194948358,-100.927037778108,274.8845238457008,74.14297798197175,-0.32512,N688CB  ,False,False,False,1347.0,12496.8,12557.76,1641169489.522,1641169489.873
1641169170,a94236,38.6043742551642,-106.77813720703124,219.1797099203453,245.60056407582488,0.0,NKS414  ,False,True,False,1501.0,10972.8,,1641169158.353,1641169158.353
1641168250,aba530,29.5155029296875,-83.30050541804388,223.19044886933327,354.7099187946287,0.0,N85BZ   ,False,False,False,2143.0,13106.4,13616.940000000002,1641168248.987,1641168249.365
1641168550,a4adfa,34.94828796386719,-92.53470284598212,209.7165528048204,307.8256757635177,-0.65024,N400PV  ,False,False,False,3164.0,12192.0,12268.2,1641168548.958,1641168549.917
1641169670,a8def1,31.4912109375,-68.2415771484375,232.76132339441185,348.2678695969504,0.0,DAL635  ,False,False,False,,10972.8,11475.72,1641169669.824,1641169669.93
1641169840,c010cb,26.17982482910156,-80.22558824071342,145.9942765752344,24.126483602266664,14.630400000000002,ACA1257 ,False,False,False,,1623.0600000000002,1676.4,1641169839.945,1641169839.945
1641170080,a712ff,26.84490966796875,-82.1845749189269,274.11949534361617,132.79447962782652,-0.32512,N555LG  ,False,False,False,3541.0,12496.8,13083.54,1641170079.451,1641170079.582
1641170840,4bb283,33.38822937011719,33.161627197265624,240.1842017989672,145.11856986846527,0.32512,THY7KA  ,False,False,False,2375.0,3977.64,10165.080000000002,1641169541.612,1641170826.546
1641170770,896315,,,,,,UAE335  ,False,False,False,,,,,1641170477.731
1641169400,42443f,56.19950866699219,67.65430797230113,203.2079847630524,289.2147471496794,0.32512,,False,False,False,,10363.2,9883.14,1641169399.332,1641169399.87
1641170430,3c5b31,24.407684326171875,-82.24421183268225,212.5127005590789,241.20135935463088,0.0,OCN010  ,False,False,False,,12192.0,12832.08,1641170422.212,1641170422.212
1641171580,7c6c90,-28.145233154296875,153.49358191856973,67.45692926130262,151.28492247188342,-3.5763200000000004,JST408  ,False,False,False,1505.0,198.12,129.54000000000002,1641171555.324,1641171555.324
1641168790,7cf7c3,,,,,,TEST1234,False,False,False,,,,,1641168788.991
1641169310,ac6a64,37.85897982322563,-121.70714005180028,71.82529985839284,24.545844026029627,3.2512000000000003,N8999P  ,False,False,False,1200.0,1592.5800000000002,1623.0600000000002,1641169309.873,1641169309.932
1641170340,424b61,36.4769835391287,-114.44691759474732,280.9566095133714,55.66978280449669,0.0,MYNNS   ,False,False,False,7762.0,12496.8,12656.820000000002,1641170339.879,1641170339.879
1641168460,a82a3f,37.191925048828125,-90.98082197473406,194.74610398756244,299.9513855058617,0.0,EJA625  ,False,False,False,7141.0,13106.4,13144.500000000002,1641168459.761,1641168459.918
1641169170,c01f52,42.77421569824219,-94.82711791992188,196.75515909913688,253.1285676156728,0.0,WJA1118 ,False,False,False,2245.0,12192.0,12009.12,1641169169.767,1641169169.989
1641168070,aa0aab,36.841534113479874,-73.78160841921543,177.83771769335416,209.45706853545235,0.0,AAL1473 ,False,False,False,2273.0,10050.78,10279.38,1641168069.657,1641168069.657
1641169030,a3ad24,33.54372703422934,-117.96564102172852,139.68836152735588,273.5894967408382,15.60576,N336LS  ,False,False,False,,2026.92,2087.88,1641169029.698,1641169029.988
1641170750,a44917,38.62038822497352,-119.5826416015625,250.68682456279245,91.99924622138026,6.502400000000001,UAL2412 ,False,False,False,1733.0,7368.54,6941.820000000001,1641170731.804,1641170731.804
1641171040,484fff,48.04449462890625,-71.85415649414062,288.3062778422629,64.30369294502644,0.0,KLM48   ,False,False,False,1351.0,11277.6,10797.54,1641171024.517,1641171024.517
1641171560,a9d807,40.49616409560381,-74.76633245294744,170.90461495990866,111.54519753505843,0.32512,AAL1291 ,False,False,False,1661.0,3048.0,2971.8,1641171559.661,1641171559.996
1641168760,7c2ad5,-36.0677490234375,146.95123672485352,6.707529124284143,85.60129464500447,0.0,IQV     ,False,True,False,7143.0,205.74,175.26000000000002,1641168412.075,1641168481.446
1641168380,a69894,42.31807902707892,-78.45458274663878,297.64620199351344,81.35171479514936,0.32512,JBU394  ,False,False,False,2742.0,10058.4,9906.0,1641168379.964,1641168379.973
1641170800,abdf3f,39.93432513738082,-74.36433271928269,141.98840791530205,222.65072135251987,6.827520000000001,RPA3698 ,False,False,False,1643.0,7871.46,7947.660000000001,1641170799.599,1641170799.923
1641168740,c080a4,42.01043701171875,-76.02145801890981,148.87444065259643,295.591028209991,0.0,WJA1215 ,False,False,False,1173.0,6096.0,5951.22,1641168739.667,1641168739.822
1641170190,ab5bd4,40.887542724609375,-96.41845703125,203.90161702828416,256.875362751589,0.0,SWA9001 ,False,False,True,1407.0,10363.2,10317.48,1641170189.676,1641170189.979
1641169670,a67c3a,39.2782178975768,-74.40948486328125,285.64616018034354,24.81117564553542,0.0,JBU910  ,False,False,False,3574.0,11277.6,11414.76,1641169669.489,1641169669.979
1641168720,4ba912,31.105545043945312,31.201548856847424,236.13203757541703,170.72236985127256,-0.32512,THY1JH  ,False,False,False,1657.0,11277.6,11384.28,1641168679.563,1641168700.312
1641168050,a851db,37.213714599609375,-82.98745013297872,229.74691209683212,320.1780023658933,0.32512,RPA3413 ,False,False,False,1624.0,10972.8,11087.1,1641168049.601,1641168049.83
1641169900,ab40d2,36.150421142578125,-114.54156875610352,65.24318268618894,322.0457691248675,-0.32512,N824MH  ,False,False,False,,861.0600000000001,922.02,1641169846.663,1641169899.151
1641169900,c05bc6,27.975753525556144,-100.37556367761948,250.63561738976784,44.91684217811039,0.0,ROU1848 ,False,False,False,2607.0,11277.6,11704.32,1641169898.479,1641169899.661
1641168090,a83782,39.156763109110166,-75.15234375,123.70854025659804,235.84734684295347,0.32512,UAL436  ,False,False,False,6331.0,1851.66,1805.94,1641168089.553,1641168089.761
